id,key,lang,url
3b2e72ad-73a1-453f-a599-4541be9fa9a5,tawaf_4,bn,https://coaqrsapnpyutsxflsru.supabase.co/storage/v1/object/public/audio%20BN/BN%20Tawaf%204.mp3
3c88a85b-0ff0-4b03-a212-dd572720cd68,pray,ru,https://coaqrsapnpyutsxflsru.supabase.co/storage/v1/object/public/audio/ru_pray.mp3
3ecd0ba4-64a9-4de3-9a89-0abb170f1a4a,safa_6,en,https://coaqrsapnpyutsxflsru.supabase.co/storage/v1/object/public/audio%20EN/EN%20Safa%205.mp3
4197558f-8f19-4241-b6ef-500186c61044,tawaf_5,tr,https://coaqrsapnpyutsxflsru.supabase.co/storage/v1/object/public/audio%20TR/TR%20Tawaf%205.mp3
428aec6b-cea9-4a0e-90b0-3be972740640,pray,bn,https://coaqrsapnpyutsxflsru.supabase.co/storage/v1/object/public/audio%20BN/BN%20Pray.mp3
4386ab1d-601f-4e90-810a-2e6f65d9de83,tawaf_start,en,https://coaqrsapnpyutsxflsru.supabase.co/storage/v1/object/public/audio%20EN/en_start.mp3
447bc6b6-f21c-46ff-ab8d-a1b7ff8c1044,safa_go,bn,https://coaqrsapnpyutsxflsru.supabase.co/storage/v1/object/public/audio%20BN/BN%20Safa%20Go.mp3
4494dcd9-5767-412f-b738-c3ae3fabceff,safa_3,tr,https://coaqrsapnpyutsxflsru.supabase.co/storage/v1/object/public/audio%20TR/TR%20Safa%203.mp3
45afc394-2fc2-4b8b-a463-3c0d5dddeca8,tawaf_1,en,https://coaqrsapnpyutsxflsru.supabase.co/storage/v1/object/public/audio%20EN/en_tawaf_1.mp3
4a21badc-f4e0-43fa-8ddd-02b5186a3e50,tawaf_1,bn,https://coaqrsapnpyutsxflsru.supabase.co/storage/v1/object/public/audio%20BN/bn_tawaf_1.mp3
4a715996-f7f8-466a-99df-60df1032610a,safa_3,uz,https://coaqrsapnpyutsxflsru.supabase.co/storage/v1/object/public/audio%20UZZ/UZ%20Safa%203.mp3
4a908a02-ab41-467b-a71a-6d7183683c2f,tawaf_6,ms,https://coaqrsapnpyutsxflsru.supabase.co/storage/v1/object/public/audio%20MS/MS%20Tawaf%206.mp3
525707e5-6f21-4a18-a1d4-0e7564a13ea8,safa_4,kk,https://coaqrsapnpyutsxflsru.supabase.co/storage/v1/object/public/audio%20UZ/KZ%20Safa%204.mp3
5306e198-1628-4639-a763-2158f8cf52df,safa_3,ru,https://coaqrsapnpyutsxflsru.supabase.co/storage/v1/object/public/audio/ru_safa_3.mp3
53ec4719-cac8-482e-9a22-f622c2a7d696,tawaf_2,uz,https://coaqrsapnpyutsxflsru.supabase.co/storage/v1/object/public/audio%20UZZ/UZ%20Tawaf%202.mp3
54861a12-d12d-4e38-9cf1-854d50ca915d,pray,tr,https://coaqrsapnpyutsxflsru.supabase.co/storage/v1/object/public/audio%20TR/TR%20Pray.mp3
559f099b-4736-4d14-b615-e87b0f11dfb3,tawaf_3,tr,https://coaqrsapnpyutsxflsru.supabase.co/storage/v1/object/public/audio%20TR/TR%20Tawaf%203.mp3
587380c0-ed90-463c-a005-065a6a2a675e,tawaf_2,id,https://coaqrsapnpyutsxflsru.supabase.co/storage/v1/object/public/audio%20Id/ID%20Tawaf%202.mp3
59ce5d16-a87c-4b12-92a2-9c11ac510443,safa_3,ms,https://coaqrsapnpyutsxflsru.supabase.co/storage/v1/object/public/audio%20MS/MS%20Safa%203.mp3
5a2843b4-d1b6-4dcc-ae16-48d8246a572a,pray,kk,https://coaqrsapnpyutsxflsru.supabase.co/storage/v1/object/public/audio%20UZ/KZ%20Pray.mp3
5b10dc2d-ad80-4865-9dc6-2316e9f169ba,tawaf_6,id,https://coaqrsapnpyutsxflsru.supabase.co/storage/v1/object/public/audio%20Id/ID%20Tawaf%206.mp3
5bdd142b-26a7-40a9-9a4a-7ff1782856fa,safa_4,bn,https://coaqrsapnpyutsxflsru.supabase.co/storage/v1/object/public/audio%20BN/bn_safa_4.mp3
